Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Brazil,BRA,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.1817016601563,..,78.7992401123047,..,77.9581069946289,78.5286026000977,81.8846435546875,82.8290786743164,81.3493728637695,..,..
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,247341919463.169,272758556343.915,286985804716.435,289495990894.393,299586611924.6,308734452850.771,321548044807.563,337352985482.659,375903263762.145,412500554795.559,448676636771.708,499355052540.896,559541329549.227,637757886667.244,695424722086.423,731649923695.225,803281452171.115,840283150784.244,867438661727.235,926132033479.117,1010511554033.68,966116171914.189,971722018042.344,938588304088.47,988043865417.878,1066552464980.62,1151751823331.46,1193210621348.61,1191985519567.62,1231076194274.74,1192883828728,1210919483539.43,1205265540510.73,1261493214739.07,1328788222502.53,1387477228552.53,1418106281314.95,1466251395671.69,1471212547872.58,1478113514365.66,1538900699686.93,1560181111439.25,1607829299910.86,1626156734970.79,1719895102552.35,1774870932268.27,1845107843393.43,1956927902720.44,2056552321671.5,2053965689829.48,2208871646202.82,2296901313455.03,2341302893954.85,2411783265631.77,2424040195497.99,2337992410593.76,2256907026242.19,2278936372567.31
China,CHN,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,906.126625602306,999.407170605423,1081.2756890686,1155.28814404773,1238.6425130508,1331.36891940848,1457.77656901642,1611.3397389709,1782.73065691263,1958.90339323547,2184.23930285459,2479.86111619802,2832.21692683923,2987.50123449999,3384.45259504641,3670.49174005079,3861.38465777115,4192.08343761328,4433.00309074402,4774.39676409943,5077.9226664353,5356.03737560887,..
China,CHN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1526.40869902494,1645.66636638566,1856.72218055136,2090.03840956191,2336.27772051927,2564.07131651646,2789.25280006157,3015.69963078252,3221.00262081845,3438.07468502092,3700.74364786842,3980.36449828146,4314.79134256322,4718.32634605353,5164.64109457187,5719.45536599539,6411.0425444815,7285.27441480908,7947.78795240087,8651.72590128034,9525.81848339164,10384.3665989406,11145.7515754935,11951.2479591608,12758.647789259,13569.8915267324,14400.8850630561,15308.712122905
China,CHN,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,127938142382.708,93049410949.895,87857253828.0692,96906550968.2098,114524161928.612,133936007378.37,148200192169.756,139649041075.3,133923430402.187,156610059507.107,186835800986.115,200026408541.997,207647414703.955,223760854088.397,228929729818.938,248892402260.237,244984791537.905,263530140255.295,294275263560.25,316640183590.83,341359305729.89,359015821543.505,391091825271.573,433467463224.249,499090846998.185,566185607089.922,616800952422.284,688898391994.546,766292786310.892,798368790038.959,829561967976.346,906662087029.132,1035554652468.52,1179160981085.92,1333066943927.94,1479027474653.82,1625870831170.38,1775951215586.11,1915143415250.11,2061986771766.67,2237080553585.02,2423651070682.23,2644946068879.54,2910382356610.87,3204657620171.13,3569853222249.4,4023919953922.87,4596579616811.11,5040346714259.97,5514129888591.98,6100620488867.55,6682402684926.16,7207389755117.65,7766512755882.13,8333286913499.17,8908300778495.9,9505156930655.12,10161012758870.3
France,FRA,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,18006.8543772121,18790.3891785301,19443.0953536598,20457.4315937424,20404.3235358597,20185.5140264674,20837.0987529959,21317.3366077992,22436.6287896747,23089.9149778509,22920.0264754924,22713.6759371973,23040.3264234699,23191.3724426341,23298.036716813,23736.7388566684,24852.2023397351,25403.1949302585,26560.337113144,27378.4320974492,27978.550054037,28003.1439766212,28436.9628654555,28202.6315285538,28716.0497314175,29216.2508078851,29615.2549206692,30376.4597880298,31557.8655344036,32731.2380197459,33412.6284672001,33725.3036914301,33600.0920682532,33651.8822136208,34333.5322014693,34531.6905766286,34963.5703539513,35648.7846614405,35212.9458517249,33808.0346648139,34316.3436489852,34635.3113443071,34085.1058976315,34217.3154848595,34519.132526371,35187.1162200266,35685.2388549895,..
France,FRA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29514.8538107688,29797.8624063936,30124.3665253161,29810.3625127999,30396.1754804502,30918.0679594151,31236.413343532,31853.630656253,32865.0464844265,33810.4032514718,34880.8818230204,35304.7307160001,35440.9219060106,35479.0103541576,36200.0762692475,36505.8487338901,37113.1834120459,37755.2945139046,37618.2073423763,36324.3615384237,36855.8446824064,37440.6414948094,37327.9444016171,37350.2782677477,37523.7275771828,37766.3741116872,38062.6397284874,38605.6708967878
France,FRA,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.1767425537109,77.1638031005859,..,77.524528503418,78.0585479736328,78.5475997924805,78.7986602783203,79.6984176635742,..,82.0126419067383,82.3058013916016,82.3781890869141,82.3257064819336,82.584716796875,83.1920928955078,..,88.7821731567383,89.7721176147461,95.5523300170898,96.1691284179688,95.4035797119141,94.6707305908203,..,93.1171722412109,92.5015335083008,92.4777069091797,93.4441604614258,94.3030700683594,94.8260498046875,98.7824172973633,98.7626724243164,98.4985198974609,98.3152618408203,98.0193786621094,97.7527313232422,97.803092956543,98.9488220214844,99.3744583129883,99.3549728393555,99.2635498046875,..,..
France,FRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,608176285777.397,641664128970.243,684477080169.693,721077259044.247,768079514212.744,804778623588.979,846739845823.177,886436354593.11,924189897794.352,988795674791.155,1043755406778.23,1099551560224.43,1149488562254.09,1222026470832.46,1274467926133.43,1261976072403.21,1316420825913.13,1361855365551.59,1416040946545.38,1466439434343.65,1489729263980.49,1505784740635.29,1543557821462.91,1562949483987.66,1586776171064.49,1612533429422.08,1650447997322.39,1692985357800.54,1773130510404.4,1850318979973.54,1904237454486.49,1924024487378.54,1954802553292.05,1942826399983.33,1988393170556.83,2029852848973.99,2058027288315.57,2106130247621.88,2181028477920.57,2255338280604.68,2342736298465.86,2388523894567.11,2415238504666.61,2435032149085.55,2502882471990.15,2543121659233.15,2603519448238.71,2665001530699.71,2670206139232.81,2591666269727.4,2642609548930.36,2697555457635.09,2702483703549.71,2718056537417.43,2743812473469.65,2773101619290.33,2806036371233.86,2857089402048
Germany,DEU,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,17216.7367540673,17736.9571577648,18412.0979942179,19180.2996474341,19026.1951317009,18946.1616846786,19932.0070807115,20626.2063312741,21501.6595163099,22044.1333644522,21814.164220599,21402.8992549822,21327.5241700951,21862.2273548775,22544.4237296395,23169.8723496017,24436.4222547723,24913.7558491086,25901.6573063457,26553.915956624,27779.4890636872,28619.1093448534,29115.3022356956,28493.1970759214,29060.413407901,29491.8210334201,29624.3458734102,29894.8949626444,30494.1441849157,31053.9108015042,31467.2231511515,31870.4386907136,31806.5983982876,31718.4863041756,32743.4490510419,32839.3644539284,34328.6346214983,35396.8751432189,35225.00632377,33891.9623411666,35136.9652379477,37045.3494507577,36958.389370861,37096.8076000214,37762.1966637549,38506.5572513431,39065.4851017281,..
Germany,DEU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31287.0698103409,32646.5618381478,33022.5755518938,32492.5185329959,33175.7085774638,33653.1296358835,33830.3056593287,34405.5192090796,35081.304207874,35755.2993074406,36764.5629268974,37325.0525470646,37262.3512875562,36977.3460076486,37418.0924996579,37703.9329399406,39143.1662435764,40473.5274498896,40989.4431148599,38784.4524824906,40428.7210307617,42692.5197566424,42822.0994035797,42914.4761126655,43560.6192440775,43937.9471317278,44431.8228379944,45229.2452947032
Germany,DEU,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,1534052735466.26,1582110001731.5,1650146131454.14,1728981646933.22,1744370771473.92,1729251631520.84,1814836763014.94,1875583307414.88,1932010097618.19,2012195536300.27,2040543923695.74,2051343309319.75,2043243770101.74,2075371942518.59,2133958609820.22,2183635783876.08,2233582942652.01,2264901161041.1,2348866384744.57,2440391178358.35,2568633883305.68,2699846419246.63,2751786253950.05,2725474628466.5,2792449673947.87,2840972414088.64,2864208659763.5,2917173625484.56,2974922531539.87,3034038256878.3,3123907846524.82,3176872812245.88,3176872812245.88,3154319996078.94,3191224606760.15,3213777436171.33,3332692329600.37,3441355939341.45,3478602264776.63,3283144458441.96,3417094562648.95,3542160228939.6,3559587403262.56,3577014590829.77,3646039898346.43,3709597862509.39,3781698549834.74,3865759081373.6
India,IND,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,313.277253922845,310.644441904184,307.458873615139,313.704805058107,293.268312197414,299.900544002337,316.325326173042,331.608975612099,339.333426975276,321.669723448016,341.119880803976,344.30983223926,340.705826672717,359.952695682805,361.817211436202,370.185664445249,377.7571410062,389.275922924706,411.739731753326,426.333547801581,443.777659915467,441.031547880036,454.613613498675,469.344576051386,490.414548746434,513.737204481286,539.47655241911,555.072698978362,587.784741101519,615.397581262071,620.004777877606,639.393359576182,658.600091532033,698.536634120764,755.276479552429,814.756581676051,876.461737003271,954.491912217825,976.851643200267,1067.32009874977,1159.45120469704,1225.75333953441,1283.50794586811,1346.8273257034,1416.51159201246,1497.72732168537,1577.584278338,..
India,IND,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1754.85732984073,1737.61504297482,1796.5323495145,1845.14908066473,1930.1130467977,2036.79592888191,2149.36550383277,2194.90258962085,2288.04783903043,2445.75107851024,2495.04663284869,2570.42788703983,2623.33027850988,2783.00435524557,2955.20482376936,3178.82872375265,3419.93110735393,3698.77749042629,3786.63267681153,4049.80511471348,4404.69700530387,4635.87913658849,4827.5596557662,5073.60548933396,5385.14181406703,5756.66466489307,6095.72279590336,6426.67440634599
India,IND,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.7681198120117,..,..,..,..
India,IND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,136746336021.575,141837050034.556,145994475148.979,154745899730.881,166279034454.174,161896301365.077,161806726133.13,174469660700.896,180380569239.055,192176917860.014,202087923013.778,205408086903.138,204271561262.574,211003373737.234,213504473236.681,233039944685.513,236915640480.339,254103312464.211,268619045727.944,254548289338.226,271694207810.623,288012715165.845,298023268843.192,319745865729.965,331962517064.819,349404821020.633,366094366511.466,380611310099.343,417255740804.096,442071372266.614,466533190787.303,471463660193.304,497311165142.667,520937305714.184,555626125340.17,597711980866.823,642836379846.497,668870101582.911,710235809965.2,773061533622.113,802754758765.919,841479377511.348,873489045365.477,942148616477.496,1016794518279.13,1111202106006.44,1214143477507.44,1333146054742.66,1385018195313.06,1502464745208.38,1656617073124.71,1766589341211.56,1862981302114.15,1981953270296.47,2128820518653.43,2302413591823.42,2466177043270.51,2629542211700.51
Indonesia,IDN,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,493.761262900658,520.501104728476,535.420967290089,574.86284391278,616.21093176344,627.837680110291,662.213557423967,714.132806560206,758.2531266683,768.86961980136,943.209760646385,1077.98711497521,1130.65693695985,3599.16924147287,5246.92404800612,7206.93416429977,6788.96143091947,5660.12449241758,2275.69682983717,2544.0622985313,3817.19087510415,2986.35779865614,3323.99530823545,4567.8476413991,5774.54297633758,5914.38653552005,3401.219952761,2928.34536298704,256.854695947064,-504.898553756944,-1430.60790347609,-1861.95131298846,624.739417377233,-1874.80519073578,-171.225497376493,-685.711599377943,-292.422167923014,1956.67997537555,1884.01536277616,2272.40163640458,2329.72945782055,2427.2442679251,2511.2375467068,2621.53152214584,2713.19253684502,2843.55193359469,3016.35369870935,..
Indonesia,IDN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4625.3772597013,4859.92632306717,5088.86885787168,5331.06566273875,5642.40286544823,6012.81102693366,6387.01385748148,6591.19909453828,5645.57439683887,5611.21741579876,5805.808706435,5934.13704964754,6115.56787071506,6319.67041666311,6546.49432383401,6824.60631146103,7102.11454033631,7450.60215836214,7792.62993124944,8044.97033037879,8433.49735678452,8837.82012171405,9251.17553694602,9643.2748298101,10003.0890293448,10367.7019920006,10766.3714478177,11188.7440161175
Indonesia,IDN,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,16.3063106536865,16.6092891693115,17.0975894927979,18.4414596557617,19.3079299926758,19.638729095459,20.8651599884033,..,..,..,..,..,..,..,..,42.0682411193848,..,..,..,..,..,..,..,41.8338012695313,..,..,..,..,..,49.6058197021484,50.8147201538086,53.4728889465332,54.8929405212402,53.3731994628906,57.5225715637207,64.0793991088867,62.7353591918945,63.1717185974121,65.0127105712891,71.5452194213867,73.6822280883789,75.6446228027344,76.0098724365234,76.8070373535156,..,..
Indonesia,IDN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,60580597267.2392,64058314793.6083,65238254668.6196,63778855349.5244,66030056426.8482,66744230561.7269,68607293522.2791,69554350527.2295,77146332091.4747,82409484955.0241,88635220348.1984,94860955741.3726,101536931350.016,109765459425.779,118145693216.164,124026159828.575,132567301909.338,144181954870.16,153938848478.323,165213806159.438,181537058284.482,195927785588.603,200329196198.436,208728934024.014,223288878861.957,228786571622.488,242227885896.286,254159855613.23,268851562224.355,288898712661.287,309821137734.336,331235921596.565,352757997188.374,375674596363.267,404000352342.247,437209211196.907,471391045244.884,493545853299.545,428759443957.88,432151471748.063,453413616927.798,469933589927.666,491078136159.835,514553483744.125,540440020890.984,571204954434.658,602626663572.802,640863459320.349,679403088245.167,710851782010.38,755094160363.071,801681840622.493,850023661688.382,897261717986.534,942184637117.353,988128596686.365,1037863871681.45,1090459494378.56
Italy,ITA,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,16249.5056927332,16514.1508950829,17062.1260670242,17636.0860198262,17703.3848987757,17240.8444823757,18190.5152627691,18698.0087593127,19357.9236078886,20506.2290285981,20702.1734394146,20380.7476618949,20611.299676332,20994.0203189644,21632.2876136933,22196.6866262691,23449.049502386,24394.2558443384,25394.7442316048,26138.2421541298,26665.8002556957,27182.5934731283,27204.0097481302,26752.2789878221,27198.0894152415,28002.2399846794,28583.0128645527,29254.3632232106,29836.9432211238,30359.2826646653,30905.8110844863,31527.388838183,31506.3498541142,31502.1202519972,31801.6025767912,31698.1257467718,32035.2539928798,32284.8661810109,30975.953714075,29556.0908689141,29492.912652899,29266.1974864104,28081.9701897948,27340.4492951778,27422.2727067482,27766.9344916871,28589.8729874115,..
Italy,ITA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31141.9028555525,31599.1206761956,31841.1091489015,31550.2719115402,32222.360688622,33152.0409902736,33569.0629900554,34167.0952615886,34709.2728108162,35244.7565357214,36535.8187670132,37162.42333617,37199.3523731905,37090.4052236178,37434.1000868702,37604.360624075,38243.8063277255,38612.0116543642,37954.1606640052,35710.4200015019,36201.1615672134,36347.3424784176,35227.6248251817,34219.8327781897,33945.8438783585,34302.0374026544,34655.2627627333,35220.0837894122
Italy,ITA,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.6256103515625,86.0619506835938,87.4294204711914,89.6075286865234,90.202522277832,91.3345794677734,91.2919464111328,92.2490234375,92.0401306152344,94.3340301513672,94.1804504394531,95.5066299438477,93.5787124633789,93.5909194946289,95.3815002441406,95.8935470581055,96.4152984619141,..,..
Italy,ITA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,545555463389.064,590330541865.835,626952585229.25,662122919812.893,680647147831.041,702890858069.224,744957429552.39,798435036453.366,850689053796.374,902564582672.759,950117939348.409,967392109536.061,1003093577414.18,1074572644531.66,1133675656587.3,1109979988332.25,1189070337645.39,1219516493121.85,1259030532413.65,1334058169312.23,1379816583045.01,1391465375844.46,1397220277176.56,1413556625452.9,1459155875549.56,1499984307841.91,1542883437376.7,1592131669024.37,1658911677906.12,1715121967622.18,1749180429217.39,1776090652703.36,1790908141344.95,1775635173596.99,1813829506032.43,1866191802602.73,1890197922969.78,1924889897177.36,1955997581478.94,1986508215235.63,2060209787378.25,2096720593691.64,2101931939042.18,2105112544373.91,2138414137787.3,2158721935302.66,2202038561569.49,2234493715312.88,2211022529983.72,2089813057939.95,2125058244242.92,2137311819312.35,2077060704620.29,2041165755679.07,2043486014884.01,2062939161297.74,2080644597198.96,2111901941464.1
